track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
1c5sVhqoQvLHTXTYJTb98i,197648,54,0.6890000000000001,0.00074,0.897,0.0017,0.22399999999999998,-6.702999999999999,0.0436,117.984,4,0
3uUuGVFu1V7jTQL60S1r8z,148197,91,0.6709999999999999,0.515,0.636,0.000411,0.172,-8.117,0.10300000000000001,120.96600000000001,4,0
7ABUiQBM8cjktnp6QLTTaT,261001,71,0.6829999999999999,0.0335,0.5710000000000001,0.0616,0.0957,-7.721,0.0286,120.044,4,0
6Dy1jexKYriXAVG6evyUTJ,162604,90,0.787,0.018000000000000002,0.833,0.00747,0.0374,-4.4030000000000005,0.0478,123.97,4,0
1jfd5UYYNB8LEYGtHkP1tM,159344,58,0.835,0.0246,0.88,0.165,0.0688,-7.972,0.10400000000000001,122.036,4,0
3g36KmRGI8hmnCcTFak4Wn,143280,66,0.6940000000000001,0.00198,0.856,0.00018899999999999999,0.67,-4.937,0.222,124.92299999999999,4,0
6eCmK3GQyFuTNWCJHsaF9d,179375,79,0.81,0.0624,0.5710000000000001,1.63e-06,0.094,-7.189,0.085,125.994,4,0
2k9kWgFLCiAeRBTmwlGbAv,166598,67,0.7,0.0137,0.9109999999999999,0.65,0.163,-5.414,0.055999999999999994,123.99600000000001,4,0
3l2Wb3OzxiuJnMIK0Bdb5z,173659,58,0.816,0.127,0.708,0.515,0.113,-6.35,0.0464,122.97399999999999,4,0
2mL37yB3f3Lfy4iiXV02Qf,267547,76,0.754,0.113,0.841,0.0,0.466,-3.19,0.135,128.019,4,0
7nlXw2qQ38tx4UvBwVL5Ne,207187,60,0.586,0.009340000000000001,0.951,0.225,0.319,-3.715,0.0387,128.03,4,0
636kRUoh1D1ZJifHip4RtS,179062,64,0.732,3.9e-05,0.96,0.826,0.33299999999999996,-7.606,0.0485,129.984,4,0
1BiWBZrvcUh7cDCqHsjb2u,201720,60,0.677,0.43200000000000005,0.8079999999999999,0.285,0.141,-5.307,0.0504,124.984,4,0
0JbDY6lEgRxtb7f5v6xv8Y,193720,63,0.6940000000000001,0.0387,0.8220000000000001,8.51e-05,0.0503,-6.124,0.0643,123.92200000000001,4,0
6fgfoT5DB6f4IOgzPRJm0n,174581,57,0.799,0.0329,0.69,0.040999999999999995,0.155,-9.857999999999999,0.055,113.02,4,0
3MOhipHFUkGpS0rV7cKrJO,242773,67,0.757,0.0668,0.637,0.485,0.191,-9.451,0.0432,121.009,4,0
4TA48C6sa3lRrr2hHFbePR,205560,69,0.738,0.0124,0.9259999999999999,0.0144,0.1,-6.0889999999999995,0.0992,125.03299999999999,4,0
1c1sdxrYLIiuJOlE7PPttb,195881,79,0.662,0.163,0.489,0.0,0.172,-7.067,0.0525,102.04,4,0
0iVkWge9ytV4Scgy2hQ2za,147140,76,0.56,0.225,0.851,2.8999999999999998e-06,0.177,-2.8510000000000004,0.0486,125.947,4,0
4q2azQakSVVyqljRiCZtu3,187733,56,0.7020000000000001,0.0512,0.763,1.04e-06,0.373,-6.69,0.0469,125.00399999999999,4,0
6PZpNMstpIiRenGK5UyG5D,136614,78,0.764,0.07200000000000001,0.672,3.32e-06,0.0806,-5.947,0.0293,129.049,4,0
0oHLi9gb4Gd97OuN6ckMk8,254131,52,0.643,0.0218,0.9129999999999999,0.0269,0.375,-5.597,0.0477,128.01,4,0
6MNwXWX1d2k8ARllRJ5Ezt,190753,70,0.731,0.0815,0.725,0.000109,0.0328,-7.962000000000001,0.05,134.002,4,0
