track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
2EeNjDGRMgtFfDbwqVVKbs,Take Me There,Take Me There,Spada,3/1/2022,188441,32,0.551,0.00885,0.973,0.649,0.113,-6.047,0.042,123.985,4
0B2GWovtxzsh0a02PBbNl7,Aura,U,Avoure,11/29/2018,521402,60,0.684,0.00487,0.604,0.887,0.0456,-9.088,0.0471,123,4
41rjAEQbD85oUdFX9uPGqG,Our Space - Edit,Our Space,Dino Lenny,3/4/2022,309677,39,0.701,0.0897,0.589,0.873,0.101,-10.028,0.0666,124.011,4
6etAsc19pzAmugWALZjpDo,Vallut Bass,Vallut Bass,Junge Junge,6/12/2020,211475,56,0.776,0.146,0.608,0.894,0.0815,-10.491,0.0398,121.984,3
56zUjcO1ep1a2tS6G1gjla,Way I Feel,Way I Feel,Return Of The Jaded,11/19/2021,237479,39,0.657,0.000208,0.951,0.776,0.275,-6.358,0.0396,121.994,4
6tPIN3XQBo1dS0XdDy3B7a,Again & Again,Again & Again,Project 46,11/5/2021,187500,39,0.546,0.00277,0.953,0.595,0.0977,-7.488,0.0746,127.971,4
4UwtgYX9wp4z9zLIfzVviV,Lost Gravity,Lost Gravity EP,Tinlicker,5/14/2021,305402,50,0.326,0.0018,0.881,0.882,0.122,-7.806,0.0393,120.319,4
0iANTai9oZfdFzmrGnMQ3Y,Dreamers,Dreamers,Stylo,7/16/2021,403902,52,0.805,0.000313,0.886,0.877,0.0673,-8.129,0.0685,122.995,4
1NBGV6jaSjoCtdhwQlaj1n,Face The Sun,Face The Sun,Yeadon,2/19/2021,439438,0,0.7,0.0066,0.809,0.884,0.0637,-8.269,0.0702,124.002,4
5JFrgSCrW4aSeYKSK9MyyC,Womaa,Womaa,Wilt Claybourne,2/12/2020,411964,45,0.711,0.0192,0.519,0.855,0.0679,-10.647,0.036,127.002,4
7vmI0ZeIjndCcohHfJex0m,Awakening,Awakening,Nicky Romero,8/27/2021,205465,42,0.615,0.00872,0.951,0.599,0.119,-6.424,0.0383,125.008,3
350zjwJuEwE2bFz4DziVmn,Sleep Paralysis,Sleep Paralysis EP,Nox Vahn,1/24/2020,304183,40,0.636,0.00148,0.797,0.853,0.101,-7.415,0.0301,121.015,4
49Op14mpMfU3abLUhiKuFL,Suck My,Suck My,TT The Artist,3/1/2022,255158,15,0.93,0.00232,0.858,1.91E-06,0.0483,-5.373,0.298,95.002,4
7A9XxAxvhWLmKIEVjowM9Y,Yo Ma (feat. Cakes da Killa & Leikeli47),Yo Ma (feat. Cakes da Killa & Leikeli47),Leikeli47,1/28/2022,199856,42,0.861,0.198,0.866,2.54E-06,0.251,-4.661,0.387,125.99,4
3pFcZbT0YVipT9LNrCutFk,Sub Poppin,Sub Poppin,Black Rave Culture,1/14/2022,341476,28,0.827,0.0524,0.733,0.719,0.391,-11.913,0.135,149.013,4
6AxBhyZDlChhX1lNDGCf0P,Hold Up,Hold Up,Moore Kismet,1/28/2022,124096,52,0.784,0.00736,0.871,0.234,0.0833,-2.902,0.239,129.903,4
5Tel96YhCtK8jdNb3S92hO,RDT - Detroit In Effect Remix,RDT (Detroit In Effect Remix),Detroit In Effect,1/27/2022,173000,35,0.804,0.00633,0.839,0.0287,0.11,-4.62,0.0872,159.92,4
2eb07d29dV41KQcqb53kN3,Billion Dollar Bitch (feat. Yung Baby Tate) - Swizzymack Remix,Billion Dollar Bitch (feat. Yung Baby Tate) [Swizzymack Remix],Swizzymack,10/22/2021,148833,36,0.777,0.288,0.693,0.0171,0.599,-7.501,0.264,150.012,4
30c9tBMcRT1FnRXA8NvVVT,Switch,Switch,Andrea Valle,1/28/2022,166500,32,0.499,0.827,0.402,0.0124,0.14,-11.604,0.048,139.865,4
52ELmtQHttLnmaSc6xv4zd,Arriba,Arriba,Shotta Spence,11/19/2021,139702,40,0.864,0.332,0.729,5.53E-05,0.343,-6.547,0.0852,133.991,4
