track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
7wG2WnNUm54SzOhB4GuFYA,352708,31,0.789,0.000401,0.7559999999999999,0.892,0.0667,-11.599,0.0467,134.004,4,1
7EELk1rIr3KA7ZtYFGHuCf,322017,38,0.716,0.000139,0.7909999999999999,0.807,0.225,-7.599,0.0702,125.99700000000001,4,1
0dpyzcT3RMNNSd2xKBf35I,195371,67,0.653,0.0102,0.877,1.04e-05,0.32,-5.82,0.0275,109.985,4,1
6UevNDpcrrAdZ5PSdTexnY,257600,20,0.622,0.000525,0.934,0.826,0.102,-5.0760000000000005,0.0467,150.02100000000002,4,1
3flV2wHEamgIEu3nUkHnH6,205785,44,0.675,0.462,0.915,0.7709999999999999,0.20800000000000002,-5.888999999999999,0.0378,135.025,4,1
5hfu9r4JcERCBwimhrPIUN,195800,56,0.5820000000000001,0.0449,0.563,0.000174,0.262,-6.428,0.0237,95.044,4,1
1kSLBBYC8D6YgUMJKeb9Hp,313125,19,0.777,0.031,0.961,0.938,0.44799999999999995,-8.663,0.132,128.003,4,1
66qhAB4F9uwvOufmFOO3A8,231241,32,0.701,0.0201,0.843,0.568,0.0309,-8.227,0.0504,136.984,4,1
6nGhGBz7uaE1RngnIFRKep,417431,62,0.489,0.0376,0.92,0.665,0.25,-4.746,0.0323,126.991,4,1
0RVmOh80HfpuygCBt2d1va,184800,72,0.655,0.0581,0.9229999999999999,0.00259,0.382,-3.5,0.21600000000000003,99.961,4,1
3aiNtTte39ck6RdkykAn8n,173633,49,0.594,0.655,0.9129999999999999,0.0,0.423,-2.372,0.255,80.30199999999999,4,1
6UFivO2zqqPFPoQYsEMuCc,260520,71,0.742,0.172,0.546,0.38,0.115,-7.694,0.0315,104.99600000000001,4,1
5mSVnabiC2NDVIGfW3Znc4,189876,66,0.878,0.28300000000000003,0.523,0.000155,0.11599999999999999,-7.653,0.12,92.05,4,1
37DLwjAM682PZr9a4dJ5VA,221241,54,0.605,0.429,0.647,0.0,0.10300000000000001,-7.037000000000001,0.0451,91.928,4,1
29SR6SFfjQJoddfmimHbQh,129565,66,0.779,0.14400000000000002,0.653,0.0,0.0955,-5.977,0.20600000000000002,69.056,4,1
